INFO 2021-11-07 18:09:38,017 article Articles were shown
INFO 2021-11-07 18:09:38,019 article Article and all users were shown
INFO 2021-11-07 18:09:38,027 article Comment from user Misha_K has been created
INFO 2021-11-07 18:09:38,027 article Comments were shown
INFO 2021-11-07 18:09:38,028 article Mark from user Вася228 already set on Садоводство
INFO 2021-11-07 18:09:38,038 article like from user Вася228 has been set on Рецепты вкусной еды
INFO 2021-11-07 18:09:38,038 article Mark from user Вася228 already set on Рецепты вкусной еды
INFO 2021-11-07 18:09:41,494 article All users were got
INFO 2021-11-07 18:09:41,494 article All articles were got
INFO 2021-11-07 18:10:07,419 article Created four tables
INFO 2021-11-07 18:10:07,425 article User was created
INFO 2021-11-07 18:10:07,428 article User was created
INFO 2021-11-07 18:10:07,435 article User was created
INFO 2021-11-07 18:10:07,439 article Article Космос is published
INFO 2021-11-07 18:10:07,446 article Article Уход за домашними животнами is published
INFO 2021-11-07 18:10:07,450 article Article Рецепты вкусной еды is published
INFO 2021-11-07 18:10:07,457 article Article Садоводство is published
INFO 2021-11-07 18:10:07,458 article Articles were shown
INFO 2021-11-07 18:10:07,459 article Articles were shown
INFO 2021-11-07 18:10:07,460 article Article and all users were shown
INFO 2021-11-07 18:10:07,467 article Comment from user Misha_K has been created
INFO 2021-11-07 18:10:07,468 article Comments were shown
INFO 2021-11-07 18:10:07,471 article like from user Вася228 has been set on Садоводство
INFO 2021-11-07 18:10:07,480 article like from user Вася228 has been set on Рецепты вкусной еды
INFO 2021-11-07 18:10:07,480 article Mark from user Вася228 already set on Рецепты вкусной еды
INFO 2021-11-07 18:10:16,721 article All users were got
INFO 2021-11-07 18:10:16,721 article All articles were got
INFO 2021-11-07 18:10:18,628 article Text articles was got
INFO 2021-11-07 18:10:18,629 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:10:19,768 article Text articles was got
INFO 2021-11-07 18:10:19,769 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:10:20,306 article Text articles was got
INFO 2021-11-07 18:10:20,306 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:10:21,051 article Text articles was got
INFO 2021-11-07 18:10:21,051 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:10:22,170 article Text articles was got
INFO 2021-11-07 18:10:22,170 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:10:23,204 article Text articles was got
INFO 2021-11-07 18:10:23,204 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:10:23,543 article Text articles was got
INFO 2021-11-07 18:10:23,544 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:10:23,927 article Text articles was got
INFO 2021-11-07 18:10:23,927 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:10:24,353 article Text articles was got
INFO 2021-11-07 18:10:24,353 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:10:25,214 article Text articles was got
INFO 2021-11-07 18:10:25,215 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:10:25,672 article Text articles was got
INFO 2021-11-07 18:10:25,672 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:10:26,114 article Text articles was got
INFO 2021-11-07 18:10:26,114 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:10:26,716 article Text articles was got
INFO 2021-11-07 18:10:26,716 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:10:27,126 article Text articles was got
INFO 2021-11-07 18:10:27,127 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:10:27,536 article Text articles was got
INFO 2021-11-07 18:10:27,536 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:10:27,884 article Text articles was got
INFO 2021-11-07 18:10:27,884 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:10:28,232 article Text articles was got
